speaker,text,words,contains_question
MR. UNIKOWSKY,"They do.   I don't think that's -- I'm not aware of any state that diverges significantly.   Like, there's, like, minor wording differences sometimes.    I think there would be an obvious preemption problem. As -- as I said, if the state authorized de novo review of an arbitration award, that would be contrary to Section 2's substantive standard that arbitration agreements should be enforced. But, if there's, like, very small distinctions or differences in things like the statutes of limitations, I don't think that those types of differences would necessarily --",90,FALSE
JUSTICE KAGAN,"I have another question also just about practice here.    Are -- are most of these 9 and 10 applications brought as freestanding applications, or are they connected to a -- to a federal suit in -- in the way that this one was?",43,TRUE
MR. UNIKOWSKY,"I mean, I've read a lot of cases.   I'm -- I'm not sure of the empirics there.    I think they're mostly brought independently because, usually, there's not that much dispute over whether parties have to arbitrate, but I've seen it on both sides. I -- I don't know a specific number.",51,FALSE
JUSTICE KAGAN,And is there a way in which your theory or Mr. Geyser's theory would push the practice in one direction or another in a way that either made sense or didn't make sense?,33,TRUE
MR. UNIKOWSKY,"So, yes.   I appreciate the opportunity to say that.    So one of the concerns about Respondents' position is that it'll create an incentive every -- in every case to file a freestanding motion to compel arbitration or do something else to get to federal court if you want to have that anchor. And this Court remarked on this in both Vaden and as well as Justice Breyer's dissent in Badgerow.   Vaden said it would be a totally artificial distinction between -- to distinguish between Section 9 and 10 applications associated with preexisting suits and not so associated. And Justice Breyer's Badgerow dissent reiterated that language that the jurisdictional anchor would create that totally artificial distinction.",115,FALSE
CHIEF JUSTICE ROBERTS,"Thank you, counsel. Justice Thomas, anything further? Justice Alito?",9,TRUE
JUSTICE ALITO,"Well, just out of curiosity, do you think we should ask Claude to decide this case? (Laughter.)",17,TRUE
MR. UNIKOWSKY,No.   I -- I adhere to the wise judgment of -- of this Court.,14,FALSE
CHIEF JUSTICE ROBERTS,Justice Sotomayor?,2,TRUE
JUSTICE SOTOMAYOR,"You're suggesting to me that people who have stays in place typically don't move that court for motions to confirm the award, that they usually go to -- to -- somewhere else for that?",34,TRUE
MR. UNIKOWSKY,"No.   I'm suggesting that usually, motions to confirm the award aren't necessary, especially when there was --",17,FALSE
JUSTICE SOTOMAYOR,"No, no, no, I understand that.    But, when there is a stay, what's the number of cases that go to another court?",22,TRUE
MR. UNIKOWSKY,"Well, there's a circuit conflict on this issue.     And it's true that most of the courts have gone with Respondents' position, but most of those opinions are sort of not -- not very -- there's not a lot of reasoning --",41,FALSE
JUSTICE SOTOMAYOR,"It doesn't matter, but the -- the vast majority -- I'm not aware of a Section 3 stay case where the other side has come to a different court to confirm the award.",33,FALSE
MR. UNIKOWSKY,"Well, I mean, there's a -- there's a circuit conflict on this issue. And --",15,FALSE
JUSTICE SOTOMAYOR,"So the -- where they're not permitted -- that's what drew us to take this case.   Where they're not permitted to, they can't.",23,FALSE
MR. UNIKOWSKY,Right.,1,FALSE
JUSTICE SOTOMAYOR,"But the point is, when they are permitted, they stay in the court where the stay is granted, correct?",19,TRUE
MR. UNIKOWSKY,"Right.   It's likely that if the Court rules for Respondents, people don't want to pay a second filing fee --",20,FALSE
JUSTICE SOTOMAYOR,All right.,2,FALSE
MR. UNIKOWSKY,-- so they'll probably go --,6,FALSE
JUSTICE SOTOMAYOR,"You -- you talk about your fear of -- of people choosing litigation, choosing a venue, and not arbitrating in order to get a venue.",25,FALSE
JUSTICE SOTOMAYOR,"You have to be Houdini and -- well, not Houdini.       You have to have magical powers to know whether you're going to win or lose, right?",26,TRUE
MR. UNIKOWSKY,"No.    You can just bring a freestanding Section 4 motion to compel arbitration, which this Court held you could do in Vaden.",22,FALSE
JUSTICE SOTOMAYOR,"Well, you didn't bring it.",5,FALSE
JUSTICE SOTOMAYOR,"You had to have the foresight -- you went to New York, a jurisdiction that had no connection to the dispute where -- where the dispute happened, and only because you lost in New York are you wanting to get out of New York.",44,FALSE
MR. UNIKOWSKY,"Your Honor, the facts of this specific case don't present the practical concern you've elaborated --",16,FALSE
JUSTICE SOTOMAYOR,"Well, but they present the practical concern that your fear requires a lot of predictions that parties are unlikely to engage in because, right now, most of them don't fight where they're going.    They just do arbitration.",37,FALSE
JUSTICE SOTOMAYOR,And most of them don't fight awards.    They accept them.,10,FALSE
MR. UNIKOWSKY,"Right, but the point is, look, if I'm -- if I am advising a client and the client says we're about to arbitrate and we might need down the road to file an application to confirm or vacate the award, and the client says, I'd rather be in federal court, in every case, I would say let's go to federal court.",61,FALSE
JUSTICE SOTOMAYOR,"You know, I practiced a lot of arbitration law.   I don't know a client who ever said that to me.     I want to file -- file it in this court in case my -- I win the award, I want to be in federal court. Thank you, counsel.",48,FALSE
CHIEF JUSTICE ROBERTS,Justice Kagan? Justice Gorsuch? Justice Kavanaugh? Justice Barrett?,8,TRUE
JUSTICE BARRETT,"Just as a practical matter, under your theory, the stay is in place.   You have the award.   You want to confirm it. Do you have to go get a -- do you file a motion to dismiss first in the district court before you go to the state court to try -- state court to try to get the arbitral award confirmed or vacated?",64,TRUE
MR. UNIKOWSKY,"No, I don't think you necessarily have to do that.    I don't think there's a specific order of operations because we view this as a non- -- like, the arbitration award as a non-jurisdictional defense, akin to res judicata or release. I think the federal court could opt, if it knows that there's an ongoing vacate or confirm proceeding, it could opt to just wait to dismiss the federal suit until those proceedings wrap up.    I don't think there's necessarily an order of operations that's required.",86,FALSE
JUSTICE BARRETT,Okay.   Thanks.,2,FALSE
CHIEF JUSTICE ROBERTS,Justice Jackson?,2,TRUE
